"Solution Label","Batch Label","Customer Id","Customer Label","Type","Element","Flags","Soln Conc","Units","Corr Con","Units","Int","Internal Std","Date","Time","SD","RSD","IntSD","IntRSD","Act Wgt","Act Vol","DF","NumReps","Replicates",,,
"Lab Control Sample","","","","LCS","Al 396.152","",0.978643,"mg/L",0.978643,"mg/L",20117.8,"-","08/02/2016","16:42:48",0.00116987,0.11954,"23.0887","0.114768",1,1,1,2,20101.4,"",20134.1,""
"A00035506007*701    ","","","","Samp","Mn 257.610","uv",-0.00331468,"mg/L",-0.00331468,"mg/L",260.201,"-","08/02/2016","16:44:23",2.23141E-5,0.673191,"1.85741","0.713836",1,1,1,2,258.887,"u",261.514,"u"
"A00035506007*701    ","","","","Samp","Fe 259.940","",0.036049,"mg/L",0.036049,"mg/L",291.073,"-","08/02/2016","16:44:23",0.000721541,2.00156,"4.26059","1.46376",1,1,1,2,294.085,"",288.06,""
"A00035506007*701    ","","","","Samp","Al 396.152","",0.0105455,"mg/L",0.0105455,"mg/L",712.286,"-","08/02/2016","16:44:23",0.0003231,3.06388,"6.57647","0.92329",1,1,1,2,716.937,"",707.636,""
"A00035506008*SY1    ","","","","Samp","Mn 257.610","uv",-0.00439035,"mg/L",-0.00439035,"mg/L",170.663,"-","08/02/2016","16:45:58",0.000161178,3.6712,"13.4164","7.86135",1,1,1,2,161.176,"u",180.15,"u"
"A00035506008*SY1    ","","","","Samp","Fe 259.940","uv",-0.00957466,"mg/L",-0.00957466,"mg/L",21.5866,"-","08/02/2016","16:45:58",0.000688512,7.19099,"4.06768","18.8435",1,1,1,2,18.7103,"u",24.4629,"u"
"A00035506008*SY1    ","","","","Samp","Al 396.152","uv",-0.0124743,"mg/L",-0.0124743,"mg/L",243.616,"-","08/02/2016","16:45:58",5.34606E-6,0.0428566,"0.108845","0.0446791",1,1,1,2,243.539,"u",243.693,"u"
"A00035506008*SY1    ","","","","Samp","Mn 257.610","uv",-0.00424873,"mg/L",-0.00424873,"mg/L",182.451,"-","08/02/2016","16:47:32",8.32104E-6,0.195848,"0.692649","0.379636",1,1,1,2,182.94,"u",181.961,"u"
"A00035506008*SY1    ","","","","Samp","Fe 259.940","uv",-0.0105937,"mg/L",-0.0105937,"mg/L",15.5663,"-","08/02/2016","16:47:32",0.000616658,5.821,"3.64317","23.4042",1,1,1,2,18.1424,"u",12.9902,"u"
"A00035506008*SY1    ","","","","Samp","Al 396.152","uv",-0.015594,"mg/L",-0.015594,"mg/L",180.097,"-","08/02/2016","16:47:32",0.000110146,0.706334,"2.24268","1.24526",1,1,1,2,181.683,"u",178.511,"u"
"A00035506009*SP     ","","","","Samp","Mn 257.610","x","-","mg/L","-","mg/L",341165,"-","08/02/2016","16:49:06",0.019633,0.449234,"1508.68","0.442214",1,1,1,2,342232,"x",340098,"x"
"A00035506009*SP     ","","","","Samp","Fe 259.940","",1.19488,"mg/L",1.19488,"mg/L",7076.92,"-","08/02/2016","16:49:06",0.000973002,0.0814309,"5.64995","0.0798363",1,1,1,2,7072.92,"",7080.91,""
"A00035506009*SP     ","","","","Samp","Al 396.152","uv",-0.00588964,"mg/L",-0.00588964,"mg/L",377.687,"-","08/02/2016","16:49:06",0.000246779,4.19005,"5.02467","1.33038",1,1,1,2,381.24,"u",374.134,"u"
"A00035506010*SY2    ","","","","Samp","Mn 257.610","uv",-0.00221177,"mg/L",-0.00221177,"mg/L",352.006,"-","08/02/2016","16:50:41",1.67996E-5,0.759556,"1.3984","0.397264",1,1,1,2,351.018,"u",352.995,"u"
"A00035506010*SY2    ","","","","Samp","Fe 259.940","uv",-0.00749021,"mg/L",-0.00749021,"mg/L",33.9014,"-","08/02/2016","16:50:41",0.0011219,14.9782,"6.62809","19.5511",1,1,1,2,38.5881,"u",29.2146,"u"
"A00035506010*SY2    ","","","","Samp","Al 396.152","uv",-0.0104214,"mg/L",-0.0104214,"mg/L",285.415,"-","08/02/2016","16:50:41",0.000384146,3.68613,"7.82159","2.74042",1,1,1,2,290.946,"u",279.885,"u"
"A00035507001*GA02S  ","","","","Samp","Mn 257.610","uv",-0.000104842,"mg/L",-0.000104842,"mg/L",527.386,"-","08/02/2016","16:52:15",5.37891E-5,51.3048,"4.47738","0.848975",1,1,1,2,524.22,"u",530.552,"u"
"A00035507001*GA02S  ","","","","Samp","Fe 259.940","",0.298682,"mg/L",0.298682,"mg/L",1838.96,"-","08/02/2016","16:52:15",0.0027226,0.91154,"16.0161","0.87093",1,1,1,2,1827.64,"",1850.29,""
"A00035507001*GA02S  ","","","","Samp","Al 396.152","",0.113973,"mg/L",0.113973,"mg/L",2814.07,"-","08/02/2016","16:52:15",0.000686525,0.602356,"13.9284","0.494957",1,1,1,2,2823.92,"",2804.22,""
"A00035507002*GA02D  ","","","","Samp","Mn 257.610","uv",-0.000722745,"mg/L",-0.000722745,"mg/L",475.952,"-","08/02/2016","16:53:50",5.64057E-5,7.80436,"4.69518","0.986481",1,1,1,2,472.632,"u",479.272,"u"
"A00035507002*GA02D  ","","","","Samp","Fe 259.940","",0.391971,"mg/L",0.391971,"mg/L",2387.37,"-","08/02/2016","16:53:50",0.000629189,0.16052,"3.69626","0.154825",1,1,1,2,2384.76,"",2389.99,""
"A00035507002*GA02D  ","","","","Samp","Al 396.152","",0.152064,"mg/L",0.152064,"mg/L",3586.39,"-","08/02/2016","16:53:50",6.86678E-5,0.0451572,"1.39143","0.0387974",1,1,1,2,3585.4,"",3587.37,""
"A00035507004*GA04D  ","","","","Samp","Mn 257.610","uv",-0.0012104,"mg/L",-0.0012104,"mg/L",435.36,"-","08/02/2016","16:55:24",0.000193619,15.9963,"16.1167","3.70193",1,1,1,2,446.756,"u",423.964,"u"
"A00035507004*GA04D  ","","","","Samp","Fe 259.940","",0.0223426,"mg/L",0.0223426,"mg/L",210.13,"-","08/02/2016","16:55:24",9.3242E-5,0.417329,"0.55069","0.262071",1,1,1,2,209.741,"",210.519,""
"A00035507004*GA04D  ","","","","Samp","Al 396.152","",0.00528145,"mg/L",0.00528145,"mg/L",605.132,"-","08/02/2016","16:55:24",0.000391117,7.40547,"7.9622","1.31578",1,1,1,2,599.502,"",610.762,""
"A00035507005*GA04S  ","","","","Samp","Mn 257.610","uv",-0.0019125,"mg/L",-0.0019125,"mg/L",376.918,"-","08/02/2016","16:56:58",5.7598E-5,3.01166,"4.79442","1.27201",1,1,1,2,373.528,"u",380.308,"u"
"A00035507005*GA04S  ","","","","Samp","Fe 259.940","",0.0300704,"mg/L",0.0300704,"mg/L",255.768,"-","08/02/2016","16:56:58",0.000543411,1.80713,"3.20904","1.25467",1,1,1,2,258.038,"",253.499,""
"A00035507005*GA04S  ","","","","Samp","Al 396.152","",0.0139691,"mg/L",0.0139691,"mg/L",781.969,"-","08/02/2016","16:56:58",0.000628496,4.49917,"12.7912","1.63577",1,1,1,2,791.013,"",772.924,""
"A00035507006*BRINEPO","","","","Samp","Mn 257.610","",0.0674197,"mg/L",0.0674197,"mg/L",6138.34,"-","08/02/2016","16:58:32",0.00765236,11.3503,"634.779","10.3412",1,1,1,2,5689.49,"",6587.2,""
"A00035507006*BRINEPO","","","","Samp","Fe 259.940","",0.167228,"mg/L",0.167228,"mg/L",1064.94,"-","08/02/2016","16:58:32",0.000989724,0.591842,"5.8332","0.547751",1,1,1,2,1060.81,"",1069.06,""
"A00035507006*BRINEPO","","","","Samp","Al 396.152","",0.683115,"mg/L",0.683115,"mg/L",14257.4,"-","08/02/2016","16:58:32",0.00463497,0.678506,"92.3493","0.647728",1,1,1,2,14192.1,"",14322.7,""
"Lab Control Sample","","","","LCS","Mn 257.610","",1.00668,"mg/L",1.00668,"mg/L",82171.2,"-","08/02/2016","17:00:06",0.0115034,1.1427,"908.163","1.10521",1,1,1,2,81529.1,"",82813.4,""
"Lab Control Sample","","","","LCS","Fe 259.940","",1.01323,"mg/L",1.01323,"mg/L",6020.71,"-","08/02/2016","17:00:06",0.000499946,0.049342,"2.91095","0.0483489",1,1,1,2,6018.65,"",6022.77,""
"Lab Control Sample","","","","LCS","Al 396.152","",0.988373,"mg/L",0.988373,"mg/L",20309.8,"-","08/02/2016","17:00:06",0.00021929,0.022187,"4.32689","0.0213045",1,1,1,2,20312.8,"",20306.7,""
"A00035507007*BBRINE ","","","","Samp","Mn 257.610","",0.0742186,"mg/L",0.0742186,"mg/L",6702.29,"-","08/02/2016","17:01:40",0.000682452,0.919517,"56.591","0.844353",1,1,1,2,6662.27,"",6742.3,""
"A00035507007*BBRINE ","","","","Samp","Fe 259.940","uv",-0.0078991,"mg/L",-0.0078991,"mg/L",31.4857,"-","08/02/2016","17:01:40",0.00292627,37.0456,"17.2882","54.908",1,1,1,2,43.7103,"u",19.2611,"u"
"A00035507007*BBRINE ","","","","Samp","Al 396.152","",0.0617727,"mg/L",0.0617727,"mg/L",1754.14,"-","08/02/2016","17:01:40",0.00109439,1.77164,"22.2397","1.26784",1,1,1,2,1769.87,"",1738.42,""
"A00035507008*LS1    ","","","","Samp","Mn 257.610","",0.0094202,"mg/L",0.0094202,"mg/L",1320.06,"-","08/02/2016","17:03:15",0.00011823,1.25507,"9.83674","0.745176",1,1,1,2,1327.01,"",1313.1,""
"A00035507008*LS1    ","","","","Samp","Fe 259.940","",1.82505,"mg/L",1.82505,"mg/L",10723.7,"-","08/02/2016","17:03:15",0.0208695,1.1435,"120.643","1.125",1,1,1,2,10809,"",10638.4,""
"A00035507008*LS1    ","","","","Samp","Al 396.152","",3.45329,"mg/L",3.45329,"mg/L",67000.2,"-","08/02/2016","17:03:15",0.0100744,0.291735,"182.898","0.272981",1,1,1,2,67129.6,"",66870.9,""
"A00035507008*LS1    ","","","","Samp","Mn 257.610","",0.0100856,"mg/L",0.0100856,"mg/L",1375.42,"-","08/02/2016","17:04:50",3.01699E-5,0.299139,"2.51","0.182491",1,1,1,2,1373.64,"",1377.19,""
"A00035507008*LS1    ","","","","Samp","Fe 259.940","",1.99359,"mg/L",1.99359,"mg/L",11698.1,"-","08/02/2016","17:04:50",0.00388746,0.194997,"22.4727","0.192107",1,1,1,2,11682.2,"",11713.9,""
"A00035507008*LS1    ","","","","Samp","Al 396.152","",3.83125,"mg/L",3.83125,"mg/L",73816.2,"-","08/02/2016","17:04:50",0.0172124,0.449265,"308.326","0.417695",1,1,1,2,73598.1,"",74034.2,""
"Lab Control Sample","","","","LCS","Mn 257.610","",1.00202,"mg/L",1.00202,"mg/L",81803.3,"-","08/02/2016","17:06:25",0.00780513,0.778938,"616.349","0.753452",1,1,1,2,82239.1,"",81367.5,""
"Lab Control Sample","","","","LCS","Fe 259.940","",1.00788,"mg/L",1.00788,"mg/L",5989.57,"-","08/02/2016","17:06:25",5.63925E-5,0.00559518,"0.328349","0.00548202",1,1,1,2,5989.8,"",5989.34,""
"Lab Control Sample","","","","LCS","Al 396.152","",0.985456,"mg/L",0.985456,"mg/L",20252.2,"-","08/02/2016","17:06:25",8.24392E-5,0.00836559,"1.6269","0.00803318",1,1,1,2,20251.1,"",20253.4,""
